Model Name,Price,CC,Mileage,Weight,Links
Hero Xtreme 200S,"₹ 1,20,214",199.6 CC,36.9 Km/l,155 Kg,https://www.carandbike.com/hero-bikes/xtreme-200s
Hero Splendor iSmart,"₹ 65,950",113.2 CC,75 Km/l,116 Kg,https://www.carandbike.com/hero-bikes/splendor-ismart
Hero XPulse 200,"₹ 1,18,230",199.6 CC,42 Km/l,157 Kg,https://www.carandbike.com/hero-bikes/xpulse-200
TVS XL 100,"₹ 40,990",99.7 CC,67 Km/l,88 Kg,https://www.carandbike.com/tvs-bikes/xl-100
Hero XPulse 200T,"₹ 1,15,800",199.6 CC,43 Km/l,154 Kg,https://www.carandbike.com/hero-bikes/xpulse-200t
Royal Enfield Interceptor 650,"₹ 2,81,518",648.0 CC,25.5 Km/l,202 Kg,https://www.carandbike.com/royal-enfield-bikes/interceptor-650
Hero Maestro Edge 125,"₹ 73,450",124.6 CC,49 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/maestro-edge-125
TVS Raider,"₹ 84,573",124.8 CC,67 Km/l,123 Kg,https://www.carandbike.com/tvs-bikes/raider
Yamaha YZF R15 V4.0,"₹ 1,70,800",155.0 CC,45 Km/l,142 Kg,https://www.carandbike.com/yamaha-bikes/yzf-r15-v40
Yamaha YZF R1,"₹ 20,39,233",998.0 CC,20 Km/l,200 Kg,https://www.carandbike.com/yamaha-bikes/yzf-r1
Honda CD 110 Dream,"₹ 65,248",109.5 CC,74 Km/l,109 Kg,https://www.carandbike.com/honda-bikes/cd-110-dream
Bajaj Platina 110,"₹ 65,930",115.0 CC,80 Km/l,108 Kg,https://www.carandbike.com/bajaj-bikes/platina-110
Bajaj Pulsar 200 NS,"₹ 1,31,219",199.5 CC,35 Km/l,152 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-200-ns
TVS Apache RTR 160,"₹ 1,12,940",159.7 CC,48 Km/l,139 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-160
Honda Hornet 2.0,"₹ 1,32,238",184.4 CC,40 Km/l,142 Kg,https://www.carandbike.com/honda-bikes/hornet-20
KTM RC 200,"₹ 2,13,000",199.5 CC,35 Km/l,151 Kg,https://www.carandbike.com/ktm-bikes/rc-200
Bajaj Platina 100,"₹ 52,915",102.0 CC,96.9 Km/l,117 Kg,https://www.carandbike.com/bajaj-bikes/platina-100
Suzuki Gixxer SF,"₹ 1,29,300",154.9 CC,47 Km/l,146 Kg,https://www.carandbike.com/suzuki-bikes/gixxer-sf
TVS Jupiter,"₹ 70,085",109.7 CC,62 Km/l,109 Kg,https://www.carandbike.com/tvs-bikes/jupiter
Yamaha Aerox 155,"₹ 1,29,000",155.0 CC,N/A,122 Kg,https://www.carandbike.com/yamaha-bikes/aerox-155
Bajaj Avenger Cruise 220,"₹ 1,22,630",220.0 CC,40 Km/l,159 Kg,https://www.carandbike.com/bajaj-bikes/avenger-cruise-220
Honda Livo,"₹ 70,799",109.5 CC,74 Km/l,115 Kg,https://www.carandbike.com/honda-bikes/livo
Kawasaki Ninja 300,"₹ 3,37,000",296.0 CC,26 Km/l,179 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-300
TVS Ntorq 125,"₹ 77,106",124.8 CC,60 Km/l,118 Kg,https://www.carandbike.com/tvs-bikes/ntorq-125
Yamaha FZ 25,"₹ 1,34,800",249.0 CC,43 Km/l,153 Kg,https://www.carandbike.com/yamaha-bikes/fz-25
Honda X-Blade,"₹ 1,11,895",162.7 CC,45 Km/l,143 Kg,https://www.carandbike.com/honda-bikes/x-blade
Suzuki V-Strom SX 250,"₹ 2,11,600",249.0 CC,N/A,167 Kg,https://www.carandbike.com/suzuki-bikes/v-strom-sx-250
Honda Activa 125 FI,"₹ 72,637",124.0 CC,45 Km/l,111 Kg,https://www.carandbike.com/honda-bikes/activa-125-fi
Bajaj CT 100,"₹ 40,794",102.0 CC,89.5 Km/l,114 Kg,https://www.carandbike.com/bajaj-bikes/ct-100
Hero HF 100,"₹ 49,400",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/hf-100
Suzuki New Access 125,"₹ 72,600",124.0 CC,64 Km/l,103 Kg,https://www.carandbike.com/suzuki-bikes/new-access-125
Bajaj Pulsar NS160,"₹ 1,10,086",160.3 CC,45 Km/l,151 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-ns160
KTM RC 390,"₹ 3,14,000",373.2 CC,35 Km/l,147 Kg,https://www.carandbike.com/ktm-bikes/rc-390
Hero Electric Optima HX,"₹ 55,580",NA,82 Km/Full Charge,73 Kg,https://www.carandbike.com/hero-electric-bikes/optima-hx
JAWA Forty Two,"₹ 1,71,415",293.0 CC,37.5 Km/l,170 Kg,https://www.carandbike.com/jawa-bikes/forty-two
Yamaha Fascino 125,"₹ 70,000",125.0 CC,66 Km/l,99 Kg,https://www.carandbike.com/yamaha-bikes/fascino-125
Bajaj Pulsar 180,"₹ 1,08,000",178.6 CC,45 Km/l,151 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-180
Hero Destini 125,"₹ 67,990",124.6 CC,54 Km/l,113 Kg,https://www.carandbike.com/hero-bikes/destini-125
Honda CB 350 RS,"₹ 1,96,006",348.4 CC,35 Km/l,179 Kg,https://www.carandbike.com/honda-bikes/cb-350-rs
KTM 250 Duke,"₹ 2,28,736",248.8 CC,30 Km/l,169 Kg,https://www.carandbike.com/ktm-bikes/250-duke
TVS Apache RTR 160 4V,"₹ 1,11,565",159.7 CC,30 Km/l,145 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-160-4v
BMW G 310 R,"₹ 2,50,000",313.0 CC,30 Km/l,158 Kg,https://www.carandbike.com/bmw-bikes/g-310-r
Revolt RV300,"₹ 1,14,264",NA,180 Km/Full Charge,101 Kg,https://www.carandbike.com/revolt-bikes/rv300
Yamaha Ray-ZR 125FI,"₹ 73,330",125.0 CC,66 Km/l,99 Kg,https://www.carandbike.com/yamaha-bikes/ray-zr-125fi
